user,item,rating
user1,movie2,3.216278307
user2,movie10,0.621241933
user3,movie2,0.806522087
user4,movie15,3.398519395
user5,movie3,0.780192437
user6,movie25,2.72503526
user7,movie10,2.257010056
user8,movie2,1.2347479
user9,movie3,1.468628404
user10,movie6,4.039733312
user11,movie27,2.816613439
user12,movie7,1.117802779
user13,movie8,0.268946862
user14,movie17,2.10006405
user15,movie19,2.364548387
user16,movie16,2.124173351
user17,movie11,1.244381717
user18,movie22,2.196087085
user19,movie29,3.447587532
user20,movie28,3.604330458
user21,movie17,0.041466165
user22,movie24,3.664529534
user23,movie25,3.427561491
user24,movie20,3.203262266
user25,movie10,2.435506682
user26,movie10,1.833211624
user27,movie26,1.229901435
user28,movie13,4.851637733
user29,movie25,1.186089651
user30,movie3,3.31775676
user31,movie19,1.501158314
user32,movie26,4.244340936
user33,movie23,0.807829299
user34,movie11,3.963282947
user35,movie27,1.688298411
user36,movie9,4.631629264
user37,movie17,0.008063769
user38,movie22,1.282244683
user39,movie12,1.506102515
user40,movie12,4.632443945
user41,movie28,3.868461177
user42,movie25,2.310176321
user43,movie21,3.021200543
user44,movie27,1.676670512
user45,movie9,1.286655899
user46,movie16,1.038418983
user47,movie28,4.476445624
user48,movie24,1.729688095
user49,movie10,1.366380642
user50,movie7,0.454927929
user51,movie18,2.607624792
user52,movie21,3.363145039
user53,movie20,1.45030569
user54,movie27,4.708718435
user55,movie27,4.423785448
user56,movie14,2.698964572
user57,movie18,3.607559245
user58,movie29,2.21158932
user59,movie21,0.272903221
user60,movie1,4.988665769
user61,movie7,2.470137578
user62,movie13,1.975217252
user63,movie14,3.136451563
user64,movie16,4.002884264
user65,movie13,4.206006558
user66,movie20,3.013515567
user67,movie29,2.466130219
user68,movie7,3.061636296
user69,movie16,4.161606848
user70,movie28,3.472626527
user71,movie23,2.76374626
user72,movie12,2.841000382
user73,movie23,0.798717155
user74,movie27,2.332650852
user75,movie4,3.398127781
user76,movie2,1.087583264
user77,movie26,2.202350219
user78,movie28,0.01525265
user79,movie26,4.776033437
user80,movie19,0.233116619
user81,movie11,2.553547402
user82,movie9,0.375913545
user83,movie6,4.650518416
user84,movie19,2.423113026
user85,movie28,4.461970838
user86,movie18,0.571819949
user87,movie6,1.298472582
